LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,2,4
1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
6,1,0,0,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
7,2,0,0,0,0,0,0,5,2,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
8,3,0,0,0,0,0,0,5,0,0,0,0,0,0,20,1,0,0,0,0,0,5,0,0,0,0,0,0,,,,
9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,30,2,0,0,0,0,0,8,0,0,0,0,0,0,,,,
10,0,0,0,0,0,0,0,2,1,0,0,0,0,0,45,3,0,0,0,0,0,4,1,0,0,0,0,0,,,,
11,0,0,0,0,0,0,0,4,1,0,0,0,0,0,56,3,0,0,0,0,0,4,0,0,0,0,1,0,,,,
12,0,0,0,0,0,0,0,4,1,0,0,0,0,0,56,5,1,0,0,0,0,4,0,0,0,0,1,0,,,,
13,0,0,0,0,0,0,0,4,1,0,0,0,0,0,56,5,2,0,0,0,0,4,0,0,0,0,1,0,,,,
14,0,0,0,0,0,0,0,4,2,0,0,0,0,0,56,8,3,0,0,0,0,4,0,0,0,0,1,0,,,,
15,0,0,0,0,0,0,0,4,0,1,0,0,0,0,56,0,0,0,0,0,0,4,0,0,0,0,1,0,,,,
16,0,0,0,0,0,0,0,4,0,1,0,0,0,0,56,0,1,0,0,0,0,4,0,0,0,0,1,0,,,,
17,0,0,0,0,0,0,0,4,0,1,0,0,0,0,56,0,0,0,0,0,0,4,0,0,0,0,1,0,,,,
18,0,0,0,0,0,0,0,4,0,1,0,0,0,0,56,0,1,0,0,0,0,4,0,0,0,0,1,0,,,,
19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,50,2,1,0,0,0,0,6,0,0,0,0,1,0,,,,
20,1,0,0,0,0,0,0,1,0,2,0,0,0,0,38,3,3,0,0,0,0,0,0,0,0,0,1,0,,,,
21,2,0,0,0,0,0,0,2,0,2,0,0,0,0,38,5,5,0,0,0,0,0,0,0,0,0,1,0,,,,
22,4,0,0,0,0,0,0,3,0,2,0,0,0,0,57,5,3,1,0,0,0,0,0,0,0,0,1,0,,,,
23,4,0,0,0,0,0,0,3,0,3,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,1,0,,,,
