LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,3
1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
2,2,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
3,4,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,
4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,,,,
5,1,0,1,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,2,0,0,0,0,,,,
6,2,0,2,0,0,0,0,3,1,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,
7,3,0,2,0,0,0,0,5,0,0,0,0,1,0,20,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,
8,3,0,3,0,0,0,0,5,0,0,0,0,1,0,30,0,0,0,0,0,0,12,0,0,0,0,0,0,,,,
9,3,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,,,,
10,5,0,8,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,,,,
11,5,0,12,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,,,,
12,8,0,12,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,41,0,0,0,0,0,0,,,,
13,13,0,12,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,,,,
14,13,0,12,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,,,,
15,13,0,18,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,,,,
16,13,1,18,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,,,,
17,13,1,18,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,,,,
18,13,1,18,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,,,,
19,0,2,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,,,,
20,0,2,18,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,,,,
21,0,2,18,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,,,,
22,0,2,19,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
23,1,2,19,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
24,2,3,19,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
25,3,5,19,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
26,5,8,19,0,0,0,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,
27,8,12,19,0,0,0,0,3,1,1,0,0,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,,,,
