LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,4,3
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,
5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,
5,0,1,0,0,0,0,0,8,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,
5,0,1,0,0,0,0,0,8,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,
