LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,3,5
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,3,1,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,3,1,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
2,3,1,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
3,5,2,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
3,5,2,0,0,0,0,0,5,2,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
3,5,2,0,0,0,0,0,5,2,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,
3,5,2,0,0,0,0,0,5,2,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,,,,
4,8,3,0,0,0,0,0,5,2,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,,,,
4,8,3,0,0,0,0,0,8,3,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,,,,
4,8,3,0,0,0,0,0,8,3,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,,,,
4,8,3,0,0,0,0,0,8,3,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,,,,
5,12,5,0,0,0,0,0,8,3,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,,,,
5,12,5,0,0,0,0,0,12,5,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,,,,
5,12,5,0,0,0,0,0,12,5,0,0,0,0,0,12,0,0,0,0,0,0,11,0,0,0,0,0,0,,,,
5,12,5,0,0,0,0,0,12,5,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
6,18,0,0,0,0,0,0,12,5,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
6,18,0,0,0,0,0,0,17,7,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
6,18,0,0,0,0,0,0,17,7,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
6,18,0,0,0,0,0,0,17,7,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
7,18,1,0,0,0,0,0,17,7,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
7,18,1,0,0,0,0,0,17,10,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
7,18,1,0,0,0,0,0,17,10,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
7,18,1,0,0,0,0,0,17,10,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
8,18,0,0,0,0,0,0,17,10,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
8,18,0,0,0,0,0,0,17,15,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
8,18,0,0,0,0,0,0,17,15,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
8,18,0,0,0,0,0,0,17,15,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
9,18,0,0,0,0,0,0,17,15,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
9,18,0,0,0,0,0,0,17,23,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
9,18,0,0,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,,,,
9,18,0,0,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,,,,
10,21,0,0,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,,,,
10,21,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,,,,
10,21,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,,,,
